Area,Latitude,Longitude
Klisa,45.302926,19.823393
Slana Bara,45.288153,19.828563
Vidovdansko Naselje,45.280669,19.832978
Salajka,45.270604,19.836438
Podbara,45.262004,19.850332
Stari Grad,45.250850,19.847169
Rotkvarija,45.260018,19.836937
Banatic,45.26242,19.824298
Grbavica,45.246060,19.833225
Adamovicevo Naselje,45.245761,19.822996
Sajmiste,45.254175,19.823555
Detelinara,45.259152,19.814783
Avijaticarsko Naselje,45.267448,19.806831
Bistrica,45.253207,19.802012
Telep,45.236520,19.810545
Adice,45.235453,19.778023
Liman 1,45.242753,19.852096
Liman 2,45.241018,19.844917
Liman 3,45.237790,19.838603
Liman 4,45.237759,19.832937
Jugovicevo,45.263492,19.784421
Sajlovo,45.272599,19.773529